benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/001-80-12-sc2014.cnf.bz2, Topk6.2_Glucose3.0, default, 1985.0, complete, SAT-VERIFIED, 0.00905097, --
sat/001-80-12-sc2014.cnf.bz2, Topk6_Glucose3.0, default, 1373.04, complete, SAT-VERIFIED, 0.013143, --
sat/001-80-12-sc2014.cnf.bz2, ZIB_Glucose, default, 721.341, complete, SAT-VERIFIED, 0.010252, --
sat/001-80-12-sc2014.cnf.bz2, cmsatv56-walksat, default, 1188.79, complete, SAT-VERIFIED, 0.00950899, --
sat/001-80-12-sc2014.cnf.bz2, cmsatv56-walksat-chronobt, default, 2690.8, complete, SAT-VERIFIED, 0.0100291, --
sat/001-80-12-sc2014.cnf.bz2, cmsatv56-yalsat, default, 1207.89, complete, SAT-VERIFIED, 0.00897008, --
sat/001-80-12-sc2014.cnf.bz2, cmsatv56-yalsat-chronobt, default, 2733.83, complete, SAT-VERIFIED, 0.0121201, --
sat/001-80-12-sc2014.cnf.bz2, expMaple_CM, default, 1049.14, complete, SAT-VERIFIED, 0.0101629, --
sat/001-80-12-sc2014.cnf.bz2, expMaple_CM _GCBump, default, 1688.52, complete, SAT-VERIFIED, 0.0104449, --
sat/001-80-12-sc2014.cnf.bz2, expMaple_CM _GCBumpOnlyLRB, default, 1710.37, complete, SAT-VERIFIED, 0.013416, --
sat/001-80-12-sc2014.cnf.bz2, glucose-4.2.1, default, 1036.08, complete, SAT-VERIFIED, 0.009691, --
sat/001-80-12-sc2014.cnf.bz2, glucose3.0, proofs, 1000.14, complete, SAT-VERIFIED, 0.010176, --
sat/001-80-12-sc2014.cnf.bz2, glucose_421_del, default, 2004.24, complete, SAT-VERIFIED, 0.00978311, --
sat/001-80-12-sc2014.cnf.bz2, glucose_BTL, default, 1815.32, complete, SAT-VERIFIED, 0.012194, --
sat/001-80-12-sc2014.cnf.bz2, optsat, default, 676.661, complete, SAT-VERIFIED, 0.0087931, --
sat/001-80-12-sc2014.cnf.bz2, smallsat, default, 514.488, complete, SAT-VERIFIED, 0.00852588, --
sat/002-80-8-sc2014.cnf.bz2, CCAnrSim, default, 5000.03, timeout (wallclock), UNKNOWN, 0.0133019, --
sat/002-80-8-sc2014.cnf.bz2, COMiniSatPS_Pulsar_drup, drup, 342.604, complete, SAT-VERIFIED, 0.01158, --
sat/002-80-8-sc2014.cnf.bz2, CaDiCaL, default, 982.54, complete, SAT-VERIFIED, 0.0118929, --
sat/002-80-8-sc2014.cnf.bz2, CaDiCaL, sat, 2922.13, complete, SAT-VERIFIED, 0.010792, --
sat/002-80-8-sc2014.cnf.bz2, CaDiCaL, unsat, 707.598, complete, SAT-VERIFIED, 0.0103019, --
sat/002-80-8-sc2014.cnf.bz2, Candy, default, 405.247, complete, SAT-VERIFIED, 0.0137249, --
sat/002-80-8-sc2014.cnf.bz2, MLDChronoBT_GCBump, default, 514.292, complete, SAT-VERIFIED, 0.00939806, --
sat/002-80-8-sc2014.cnf.bz2, MapleCOMSPS_CHB_VSIDS_drup, CHB_VSIDS_drup, 419.169, complete, SAT-VERIFIED, 0.0107641, --
sat/002-80-8-sc2014.cnf.bz2, MapleCOMSPS_LRB_VSIDS_2_drup, LRB_VSIDS_2_drup, 394.053, complete, SAT-VERIFIED, 0.013025, --
sat/002-80-8-sc2014.cnf.bz2, MapleCOMSPS_LRB_VSIDS_drup, LRB_VSIDS_drup, 589.923, complete, SAT-VERIFIED, 0.010584, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMChronoBT_DEL, default, 684.027, complete, SAT-VERIFIED, 0.00971712, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMChronoBT_Scavel_EWMA, default, 405.336, complete, SAT-VERIFIED, 0.012026, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMChronoBT_ldcr, default, 382.449, complete, SAT-VERIFIED, 0.0117941, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMDISTChronoBT_Scavel_EWMA_08ALL, default, 461.514, complete, SAT-VERIFIED, 0.011, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMDiscChronoBT-DL-v3, default, 319.009, complete, SAT-VERIFIED, 0.011889, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMDistChronoBT-DL-v2.1, default, 494.061, complete, SAT-VERIFIED, 0.0100649, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMDistChronoBT-DL-v2.2, default, 508.889, complete, SAT-VERIFIED, 0.0134041, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMDistChronoBTVariableReindexing, default, 46.0151, complete, SAT-INCORRECT, 0.0109781, --
sat/002-80-8-sc2014.cnf.bz2, MapleLCMdistCBTcoreFirst, default, 80.0336, complete, SAT-VERIFIED, 0.011071, --
sat/002-80-8-sc2014.cnf.bz2, Maple_CM_OnlineDel_19b, default, 447.844, complete, SAT-VERIFIED, 0.0122879, --
sat/002-80-8-sc2014.cnf.bz2, Maple_LCM_BTL, default, 642.145, complete, SAT-VERIFIED, 0.011379, --
sat/002-80-8-sc2014.cnf.bz2, Maple_LCM_OnlineDel_19a, default, 594.59, complete, SAT-VERIFIED, 0.010221, --
