input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
TF-46.tf;66;ptf;3;21;0.9913644214162349;6.0;130.76821064949036;True;138;99
TF-58.tf;67;ptf;3;16;0.9913644214162349;6.0;55.18867802619934;True;102;99
cire150-5.txt;68;ptf;3;43;1.0;0;4.668349742889404;True;27;99
cire150-6.txt;69;ptf;3;41;1.0;0;3.030475378036499;True;25;99
TF-100.tf;70;ptf;3;25;0.9913494809688581;6.0;40.295883655548096;True;77;99
TF-87.tf;71;ptf;3;NA;NA;NA;3700;True;1;99
cire100-6.txt;72;ptf;3;28;1.0;0;4.403297424316406;True;19;99
TF-3.tf;73;ptf;3;17;0.9913644214162349;5.0;18.667055368423462;True;65;99
TF-73.tf;74;ptf;3;22;0.9913644214162349;4.0;117.81307172775269;True;138;99
rtf30-3.txt;75;ptf;3;8;1.0;0;1.3089337348937988;True;11;99
TF-16.tf;76;ptf;3;23;0.9913644214162349;6.0;154.80386352539062;True;142;99
TF-65.tf;77;ptf;3;24;0.9913644214162349;6.0;256.46524024009705;True;171;99
TF-22.tf;78;ptf;3;19;0.9913644214162349;6.0;85.83587694168091;True;113;99
cire100-0.txt;79;ptf;3;27;1.0;0;0.6808524131774902;True;17;99
TF-26.tf;80;ptf;3;17;0.9913644214162349;6.0;37.2453076839447;True;54;99
TF-75.tf;81;ptf;3;NA;NA;NA;3700;True;1;99
TF-32.tf;82;ptf;3;18;0.9913644214162349;6.0;269.2037134170532;True;167;99
rtf30-2.txt;83;ptf;3;7;1.0;0;0.22948145866394043;True;5;99
scp1000-3.txt;84;ptf;3;NA;NA;NA;3700;True;1;99
TF-90.tf;85;ptf;3;23;0.9913644214162349;6.0;103.97840356826782;True;109;99
rtf30-1.txt;86;ptf;3;8;1.0;0;0.22904539108276367;True;6;99
TF-25.tf;87;ptf;3;NA;NA;NA;3700;True;1;99
cire150-9.txt;88;ptf;3;45;1.0;0;2.848858118057251;True;27;99
scp1000-6.txt;89;ptf;3;NA;NA;NA;3700;True;1;99
TF-89.tf;90;ptf;3;NA;NA;NA;3700;True;1;99
cire100-8.txt;91;ptf;3;30;1.0;0;1.2425079345703125;True;18;99
TF-39.tf;92;ptf;3;NA;NA;NA;3700;True;1;99
TF-67.tf;93;ptf;3;16;0.9913644214162349;4.0;26.57399868965149;True;63;99
TF-69.tf;94;ptf;3;24;0.9913644214162349;4.0;803.9604091644287;True;243;99
TF-53.tf;95;ptf;3;22;0.9913494809688581;6.0;491.03651785850525;True;195;99
TF-60.tf;96;ptf;3;NA;NA;NA;3700;True;1;99
TF-71.tf;97;ptf;3;23;0.9913644214162349;5.0;133.48353362083435;True;136;99
cire100-7.txt;98;ptf;3;34;1.0;0;4.835104942321777;True;20;99
cire150-4.txt;99;ptf;3;45;1.0;0;6.435182809829712;True;29;99
TF-77.tf;100;ptf;3;16;0.9913644214162349;5.0;69.65927314758301;True;89;99
TF-85.tf;101;ptf;3;21;0.9913644214162349;5.0;86.1216995716095;True;111;99
TF-91.tf;102;ptf;3;NA;NA;NA;3700;True;1;99
cire100-5.txt;103;ptf;3;28;1.0;0;2.1140599250793457;True;18;99
TF-93.tf;104;ptf;3;NA;NA;NA;3700;True;1;99
TF-47.tf;105;ptf;3;20;0.9913644214162349;6.0;97.40505027770996;True;121;99
scp1000-9.txt;106;ptf;3;NA;NA;NA;3700;True;1;99
TF-79.tf;107;ptf;3;NA;NA;NA;3700;True;1;99
TF-6.tf;108;ptf;3;16;0.9913644214162349;5.0;31.516880750656128;True;79;99
TF-49.tf;109;ptf;3;23;0.9913644214162349;7.0;722.1382691860199;True;222;99
TF-63.tf;110;ptf;3;16;0.9913644214162349;6.0;55.626548767089844;True;91;99
TF-9.tf;111;ptf;3;NA;NA;NA;3700;True;1;99
TF-94.tf;112;ptf;3;24;0.9913644214162349;3.0;50.57918834686279;True;84;99
TF-20.tf;113;ptf;3;NA;NA;NA;3700;True;1;99
TF-50.tf;114;ptf;3;19;0.9913644214162349;7.0;81.67176914215088;True;97;99
cire150-8.txt;115;ptf;3;39;1.0;0;5.88927149772644;True;25;99
TF-1.tf;116;ptf;3;21;0.9913644214162349;6.0;304.2511694431305;True;190;99
cire100-3.txt;117;ptf;3;27;1.0;0;0.6003062725067139;True;18;99
rtf30-8.txt;118;ptf;3;7;1.0;0;0.24812865257263184;True;6;99
TF-5.tf;119;ptf;3;19;0.9913644214162349;5.0;50.86266207695007;True;76;99
TF-17.tf;120;ptf;3;NA;NA;NA;3700;True;1;99
TF-19.tf;121;ptf;3;NA;NA;NA;3700;True;1;99
TF-7.tf;122;ptf;3;NA;NA;NA;3700;True;1;99
rtf30-0.txt;123;ptf;3;7;1.0;0;2.0933942794799805;True;10;99
TF-84.tf;124;ptf;3;20;0.9913644214162349;4.0;127.35866332054138;True;143;99
TF-82.tf;125;ptf;3;NA;NA;NA;3700;True;1;99
cire150-0.txt;126;ptf;3;42;1.0;0;3.8390488624572754;True;26;99
cire150-7.txt;127;ptf;3;40;1.0;0;1.6170926094055176;True;24;99
cire150-3.txt;128;ptf;3;44;1.0;0;3.860795497894287;True;26;99
TF-43.tf;129;ptf;3;18;0.9913644214162349;4.0;49.07166004180908;True;80;99
TF-68.tf;130;ptf;3;23;0.9913644214162349;4.0;140.4496488571167;True;130;99
cire100-1.txt;131;ptf;3;35;1.0;0;2.4447574615478516;True;20;99
TF-29.tf;132;ptf;3;23;0.9913644214162349;5.0;420.71086502075195;True;205;99
TF-92.tf;133;ptf;3;NA;NA;NA;3700;True;1;99
cire150-2.txt;134;ptf;3;45;1.0;0;1.487231731414795;True;24;99
TF-52.tf;135;ptf;3;NA;NA;NA;3700;True;1;99
TF-45.tf;136;ptf;3;19;0.9913494809688581;6.0;82.128253698349;True;117;99
TF-34.tf;137;ptf;3;20;0.9913644214162349;6.0;45.943843841552734;True;73;99
