family,instance,solver,time
1,F.03,Glasgow,0.102000
1,F.03,LAD,0.075000
1,F.03,VF2,1000.000000
1,F.03,RI,0.000003
1,E.12,Glasgow,0.123000
1,E.12,LAD,0.035000
1,E.12,VF2,1000.000000
1,E.12,RI,0.000287
1,C.06,Glasgow,0.194000
1,C.06,LAD,0.066000
1,C.06,VF2,1000.000000
1,C.06,RI,0.000007
1,C.09,Glasgow,0.302000
1,C.09,LAD,0.046000
1,C.09,VF2,1000.000000
1,C.09,RI,0.000001
1,B.17,Glasgow,0.067000
1,B.17,LAD,0.023000
1,B.17,VF2,1000.000000
1,B.17,RI,0.000001
1,C.07,Glasgow,0.180000
1,C.07,LAD,0.047000
1,C.07,VF2,1000.000000
1,C.07,RI,0.000002
1,E.09,Glasgow,0.113000
1,E.09,LAD,0.030000
1,E.09,VF2,1000.000000
1,E.09,RI,1000.000000
1,E.17,Glasgow,0.123000
1,E.17,LAD,0.012000
1,E.17,VF2,1000.000000
1,E.17,RI,1000.000000
1,C.11,Glasgow,0.179000
1,C.11,LAD,0.117000
1,C.11,VF2,1000.000000
1,C.11,RI,0.000010
1,F.10,Glasgow,0.109000
1,F.10,LAD,0.015000
1,F.10,VF2,124.291000
1,F.10,RI,1000.000000
1,A.17,Glasgow,0.012000
1,A.17,LAD,0.005000
1,A.17,VF2,12.276000
1,A.17,RI,0.000000
1,B.15,Glasgow,0.067000
1,B.15,LAD,0.029000
1,B.15,VF2,1000.000000
1,B.15,RI,0.000001
1,E.03,Glasgow,0.140000
1,E.03,LAD,0.026000
1,E.03,VF2,1000.000000
1,E.03,RI,0.053064
1,F.19,Glasgow,0.173000
1,F.19,LAD,0.064000
1,F.19,VF2,1000.000000
1,F.19,RI,0.000089
1,A.12,Glasgow,0.006000
1,A.12,LAD,0.003000
1,A.12,VF2,0.946000
1,A.12,RI,0.000000
1,B.08,Glasgow,0.067000
1,B.08,LAD,0.027000
1,B.08,VF2,1000.000000
1,B.08,RI,0.000001
1,F.17,Glasgow,0.105000
1,F.17,LAD,0.318000
1,F.17,VF2,1000.000000
1,F.17,RI,0.000969
1,C.04,Glasgow,0.180000
1,C.04,LAD,0.134000
1,C.04,VF2,1000.000000
1,C.04,RI,0.000014
1,B.19,Glasgow,0.068000
1,B.19,LAD,0.028000
1,B.19,VF2,1000.000000
1,B.19,RI,0.000001
1,C.16,Glasgow,0.175000
1,C.16,LAD,0.044000
1,C.16,VF2,1000.000000
1,C.16,RI,0.000005
1,C.17,Glasgow,0.180000
1,C.17,LAD,0.072000
1,C.17,VF2,1000.000000
1,C.17,RI,0.000001
1,E.08,Glasgow,0.123000
1,E.08,LAD,0.014000
1,E.08,VF2,1000.000000
1,E.08,RI,1000.000000
1,F.13,Glasgow,0.125000
1,F.13,LAD,1.058000
1,F.13,VF2,1000.000000
1,F.13,RI,1000.000000
1,A.20,Glasgow,0.011000
1,A.20,LAD,0.001000
1,A.20,VF2,156.438000
1,A.20,RI,0.000008
1,E.02,Glasgow,0.123000
1,E.02,LAD,0.023000
1,E.02,VF2,1000.000000
1,E.02,RI,1000.000000
1,E.16,Glasgow,0.127000
1,E.16,LAD,0.013000
1,E.16,VF2,1000.000000
1,E.16,RI,0.179817
1,B.12,Glasgow,0.066000
1,B.12,LAD,0.101000
1,B.12,VF2,1000.000000
1,B.12,RI,0.000003
1,F.09,Glasgow,0.134000
1,F.09,LAD,0.466000
1,F.09,VF2,1000.000000
1,F.09,RI,0.000018
1,A.10,Glasgow,0.007000
1,A.10,LAD,0.003000
1,A.10,VF2,13.343000
1,A.10,RI,0.000000
1,F.18,Glasgow,0.105000
1,F.18,LAD,0.126000
1,F.18,VF2,1000.000000
1,F.18,RI,0.000015
1,E.10,Glasgow,0.098000
1,E.10,LAD,0.027000
1,E.10,VF2,1000.000000
1,E.10,RI,0.000027
1,A.06,Glasgow,0.011000
1,A.06,LAD,0.007000
1,A.06,VF2,4.458000
1,A.06,RI,0.000000
1,E.15,Glasgow,0.117000
1,E.15,LAD,0.029000
1,E.15,VF2,1000.000000
1,E.15,RI,1000.000000
1,E.07,Glasgow,0.115000
1,E.07,LAD,0.024000
1,E.07,VF2,1.901000
1,E.07,RI,0.031489
1,E.11,Glasgow,0.151000
1,E.11,LAD,0.020000
1,E.11,VF2,1000.000000
1,E.11,RI,0.084821
1,B.03,Glasgow,0.170000
1,B.03,LAD,0.017000
1,B.03,VF2,1000.000000
1,B.03,RI,0.000029
1,B.18,Glasgow,0.095000
1,B.18,LAD,0.016000
1,B.18,VF2,1000.000000
1,B.18,RI,0.000018
1,C.03,Glasgow,0.189000
1,C.03,LAD,0.051000
1,C.03,VF2,1000.000000
1,C.03,RI,0.000001
1,A.18,Glasgow,0.012000
1,A.18,LAD,0.005000
1,A.18,VF2,2.159000
1,A.18,RI,0.000000
1,F.15,Glasgow,0.097000
1,F.15,LAD,0.030000
1,F.15,VF2,1000.000000
1,F.15,RI,0.000002
1,A.19,Glasgow,0.007000
1,A.19,LAD,0.009000
1,A.19,VF2,0.528000
1,A.19,RI,0.000001
1,C.12,Glasgow,0.200000
1,C.12,LAD,0.069000
1,C.12,VF2,1000.000000
1,C.12,RI,0.000024
1,B.05,Glasgow,0.080000
1,B.05,LAD,0.015000
1,B.05,VF2,1000.000000
1,B.05,RI,0.000005
1,A.13,Glasgow,0.011000
1,A.13,LAD,0.003000
1,A.13,VF2,7.497000
1,A.13,RI,0.000000
1,A.05,Glasgow,0.109000
1,A.05,LAD,0.003000
1,A.05,VF2,8.455000
1,A.05,RI,0.000000
1,F.01,Glasgow,0.097000
1,F.01,LAD,0.024000
1,F.01,VF2,1000.000000
1,F.01,RI,0.000011
1,E.20,Glasgow,0.112000
1,E.20,LAD,0.027000
1,E.20,VF2,1000.000000
1,E.20,RI,1000.000000
1,B.13,Glasgow,0.088000
1,B.13,LAD,0.016000
1,B.13,VF2,1000.000000
1,B.13,RI,0.000000
1,A.14,Glasgow,0.012000
1,A.14,LAD,0.012000
1,A.14,VF2,1000.000000
1,A.14,RI,0.000000
1,B.04,Glasgow,0.094000
1,B.04,LAD,0.019000
1,B.04,VF2,1000.000000
1,B.04,RI,0.000001
1,C.13,Glasgow,0.182000
1,C.13,LAD,0.236000
1,C.13,VF2,1000.000000
1,C.13,RI,0.000001
1,F.07,Glasgow,0.117000
1,F.07,LAD,0.028000
1,F.07,VF2,1000.000000
1,F.07,RI,0.000032
1,E.13,Glasgow,0.144000
1,E.13,LAD,0.031000
1,E.13,VF2,1000.000000
1,E.13,RI,1000.000000
1,E.14,Glasgow,0.132000
1,E.14,LAD,0.015000
1,E.14,VF2,1000.000000
1,E.14,RI,1000.000000
1,A.11,Glasgow,0.006000
1,A.11,LAD,0.004000
1,A.11,VF2,1.706000
1,A.11,RI,0.000000
7,si6_r005_m400.07,Glasgow,0.189000
7,si6_r005_m400.07,LAD,6.519000
7,si6_r005_m400.07,VF2,1000.000000
7,si6_r005_m400.07,RI,0.000438
7,si6_r005_m400.00,Glasgow,0.183000
7,si6_r005_m400.00,LAD,3.789000
7,si6_r005_m400.00,VF2,1000.000000
7,si6_r005_m400.00,RI,0.000526
7,si6_r005_m400.01,Glasgow,0.215000
7,si6_r005_m400.01,LAD,29.717000
7,si6_r005_m400.01,VF2,1000.000000
7,si6_r005_m400.01,RI,0.008234
7,si6_r005_m400.02,Glasgow,0.180000
7,si6_r005_m400.02,LAD,3.772000
7,si6_r005_m400.02,VF2,1000.000000
7,si6_r005_m400.02,RI,0.000175
7,si6_r005_m400.04,Glasgow,0.184000
7,si6_r005_m400.04,LAD,3.278000
7,si6_r005_m400.04,VF2,1000.000000
7,si6_r005_m400.04,RI,0.000012
7,si6_r005_m400.05,Glasgow,0.168000
7,si6_r005_m400.05,LAD,25.629000
7,si6_r005_m400.05,VF2,1000.000000
7,si6_r005_m400.05,RI,0.001549
7,si6_r005_m400.09,Glasgow,0.163000
7,si6_r005_m400.09,LAD,3.629000
7,si6_r005_m400.09,VF2,1000.000000
7,si6_r005_m400.09,RI,0.000053
7,si6_r005_m400.03,Glasgow,0.157000
7,si6_r005_m400.03,LAD,4.169000
7,si6_r005_m400.03,VF2,1000.000000
7,si6_r005_m400.03,RI,0.004160
7,si6_r005_m400.06,Glasgow,0.173000
7,si6_r005_m400.06,LAD,3.402000
7,si6_r005_m400.06,VF2,1000.000000
7,si6_r005_m400.06,RI,0.000099
7,si6_r005_m400.08,Glasgow,0.207000
7,si6_r005_m400.08,LAD,7.538000
7,si6_r005_m400.08,VF2,1000.000000
7,si6_r005_m400.08,RI,0.000316
6,si6_m4Dr6_m625.04,Glasgow,0.071000
6,si6_m4Dr6_m625.04,LAD,0.012000
6,si6_m4Dr6_m625.04,VF2,0.043000
6,si6_m4Dr6_m625.04,RI,0.000001
6,si6_m4Dr6_m625.01,Glasgow,0.040000
6,si6_m4Dr6_m625.01,LAD,0.014000
6,si6_m4Dr6_m625.01,VF2,0.008000
6,si6_m4Dr6_m625.01,RI,0.000001
6,si6_m4Dr6_m625.09,Glasgow,0.061000
6,si6_m4Dr6_m625.09,LAD,0.028000
6,si6_m4Dr6_m625.09,VF2,0.008000
6,si6_m4Dr6_m625.09,RI,0.000001
6,si6_m4Dr6_m625.07,Glasgow,0.043000
6,si6_m4Dr6_m625.07,LAD,0.011000
6,si6_m4Dr6_m625.07,VF2,0.017000
6,si6_m4Dr6_m625.07,RI,0.000001
6,si6_m4Dr6_m625.00,Glasgow,0.063000
6,si6_m4Dr6_m625.00,LAD,0.023000
6,si6_m4Dr6_m625.00,VF2,0.009000
6,si6_m4Dr6_m625.00,RI,0.000000
6,si6_m4Dr6_m625.08,Glasgow,0.043000
6,si6_m4Dr6_m625.08,LAD,0.012000
6,si6_m4Dr6_m625.08,VF2,0.014000
6,si6_m4Dr6_m625.08,RI,0.000000
6,si6_m4Dr6_m625.05,Glasgow,0.042000
6,si6_m4Dr6_m625.05,LAD,0.022000
6,si6_m4Dr6_m625.05,VF2,0.015000
6,si6_m4Dr6_m625.05,RI,0.000000
6,si6_m4Dr6_m625.06,Glasgow,0.042000
6,si6_m4Dr6_m625.06,LAD,0.012000
6,si6_m4Dr6_m625.06,VF2,0.015000
6,si6_m4Dr6_m625.06,RI,0.000001
6,si6_m4Dr6_m625.02,Glasgow,0.062000
6,si6_m4Dr6_m625.02,LAD,0.024000
6,si6_m4Dr6_m625.02,VF2,0.008000
6,si6_m4Dr6_m625.02,RI,0.000012
6,si6_m4Dr6_m625.03,Glasgow,0.066000
6,si6_m4Dr6_m625.03,LAD,0.021000
6,si6_m4Dr6_m625.03,VF2,0.008000
6,si6_m4Dr6_m625.03,RI,0.000000
6,si4_m4Dr2_m625.09,Glasgow,0.042000
6,si4_m4Dr2_m625.09,LAD,0.057000
6,si4_m4Dr2_m625.09,VF2,0.010000
6,si4_m4Dr2_m625.09,RI,0.000044
6,si4_m4Dr2_m625.04,Glasgow,0.029000
6,si4_m4Dr2_m625.04,LAD,0.259000
6,si4_m4Dr2_m625.04,VF2,0.012000
6,si4_m4Dr2_m625.04,RI,0.000000
6,si4_m4Dr2_m625.02,Glasgow,0.038000
6,si4_m4Dr2_m625.02,LAD,0.011000
6,si4_m4Dr2_m625.02,VF2,0.011000
6,si4_m4Dr2_m625.02,RI,0.000000
6,si4_m4Dr2_m625.07,Glasgow,0.023000
6,si4_m4Dr2_m625.07,LAD,0.013000
6,si4_m4Dr2_m625.07,VF2,0.010000
6,si4_m4Dr2_m625.07,RI,0.000000
6,si4_m4Dr2_m625.00,Glasgow,0.031000
6,si4_m4Dr2_m625.00,LAD,0.013000
6,si4_m4Dr2_m625.00,VF2,0.005000
6,si4_m4Dr2_m625.00,RI,0.000000
6,si4_m4Dr2_m625.08,Glasgow,0.039000
6,si4_m4Dr2_m625.08,LAD,0.011000
6,si4_m4Dr2_m625.08,VF2,0.006000
6,si4_m4Dr2_m625.08,RI,0.000000
6,si4_m4Dr2_m625.01,Glasgow,0.036000
6,si4_m4Dr2_m625.01,LAD,0.123000
6,si4_m4Dr2_m625.01,VF2,0.012000
6,si4_m4Dr2_m625.01,RI,0.000000
6,si4_m4Dr2_m625.06,Glasgow,0.024000
6,si4_m4Dr2_m625.06,LAD,0.006000
6,si4_m4Dr2_m625.06,VF2,0.011000
6,si4_m4Dr2_m625.06,RI,0.000000
6,si4_m4Dr2_m625.03,Glasgow,0.039000
6,si4_m4Dr2_m625.03,LAD,0.035000
6,si4_m4Dr2_m625.03,VF2,0.012000
6,si4_m4Dr2_m625.03,RI,0.000000
6,si4_m4Dr2_m625.05,Glasgow,0.035000
6,si4_m4Dr2_m625.05,LAD,0.162000
6,si4_m4Dr2_m625.05,VF2,0.006000
6,si4_m4Dr2_m625.05,RI,0.000000
7,si2_r001_m600.00,Glasgow,0.046000
7,si2_r001_m600.00,LAD,16.587000
7,si2_r001_m600.00,VF2,1000.000000
7,si2_r001_m600.00,RI,0.000034
7,si2_r001_m600.06,Glasgow,0.122000
7,si2_r001_m600.06,LAD,9.881000
7,si2_r001_m600.06,VF2,1000.000000
7,si2_r001_m600.06,RI,0.000051
