input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error,family
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2492.14,15264284.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.10,2400.0,UNKNOWN TO,2365.89,10852176.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2395.32,10849636.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-20,2400.0,UNKNOWN TO,678.491,15532588.0,choco-solver,2019-09-20,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-06-14,2400.0,UNKNOWN TO,669.61,15532580.0,choco-solver,2019-06-14,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-16,2400.0,UNKNOWN TO,672.954,15532588.0,choco-solver,2019-09-16,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.05,2521640.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),2400.0,UNKNOWN TO,2447.44,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2400.0,UNKNOWN TO,2440.0,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,VBS,2400.0,UNKNOWN MO,142.192,15877616.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2,2400.0,UNKNOWN TO,2520.01,863048.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2508.42,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,PicatSAT 2019-09-12,21.1751,SAT,21.177,2111800.0,PicatSAT,2019-09-12,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-24,379.265,SAT,372.656,15268140.0,choco-solver,2019-09-24,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.10,2400.0,UNKNOWN TO,2450.15,10846964.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.12.3,2400.0,UNKNOWN TO,2467.55,10846988.0,Concrete,3.12.3,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-20,1680.89,SAT,423.514,15532588.0,choco-solver,2019-09-20,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-06-14,2400.0,UNKNOWN TO,634.604,15532580.0,choco-solver,2019-06-14,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-16,1666.8,SAT,419.632,15532588.0,choco-solver,2019-09-16,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,BTD 19.07.01,2400.0,UNKNOWN TO,2520.01,409980.0,BTD,19.07.01,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),45.027,SAT,24.1703,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),43.2998,SAT,22.7808,15142500.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,VBS,21.1751,SAT,21.177,2111800.0,PicatSAT,2019-09-12,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2,2400.0,UNKNOWN TO,2520.01,635144.0,cosoco,2,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,AbsCon 2019-07-23,2400.0,UNKNOWN TO,2505.62,10748324.0,AbsCon,2019-07-23,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,PicatSAT 2019-09-12,515.664,SAT,515.663,2139292.0,PicatSAT,2019-09-12,2400.0,True,True,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-24,2400.0,UNKNOWN TO,2511.83,15268484.0,choco-solver,2019-09-24,2400.0,False,False,False,True,True,False,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Concrete 3.10,2400.0,UNKNOWN TO,2455.84,10846964.0,Concrete,3.10,2400.0,False,False,False,True,True,False,Bibd
